Announcement ID,Time,System Time,Keywords,Title,Summary,Link
1,"Sat, 1 Jun 2024 01:14:00 +0000",2024-06-03 01:53:09.622892,merger,"KED INVESTOR ALERT: Kaskela Law LLC Announces Investigation of Keypath Education International, Inc. (ASX: KED) and Encourages Investors to Contact the Firm","<p>PHILADELPHIA, June 1, 2024 /PRNewswire/ -- Kaskela Law LLC announces that it is investigating Keypath Education International, Inc. (ASX: KED) (""Keypath"") on behalf of the company's investors. On May 24, 2024, Keypath disclosed that it had entered into an Agreement and Plan of Merger...</p>",https://www.prnewswire.com/apac/news-releases/ked-investor-alert-kaskela-law-llc-announces-investigation-of-keypath-education-international-inc-asx-ked-and-encourages-investors-to-contact-the-firm-302161060.html
19,"Wed, 08 Nov 2023 13:00:10 +0000",2024-06-03 01:57:49.400946,merger,Florida HVAC Giants Unite: Stan Weaver & Co and Cors-Air Announce Merger,Elevating HVAC Excellence Through a Century of Combined Expertise,https://www.newswire.com/news/florida-hvac-giants-unite-stan-weaver-co-and-cors-air-announce-merger-22166740
27,"Fri, 31 May 2024 20:01 GMT",2024-06-03 01:57:50.919518,merger,"Wayne Savings Bancshares, Inc. and Main Street Financial Services Corp. Complete Merger","<p align=""left"">WOOSTER, Ohio and WHEELING, W.Va., May  31, 2024  (GLOBE NEWSWIRE) -- Wayne Savings Bancshares, Inc. (OTCQX: WAYN) (""Wayne""), the holding company of Wayne Savings Community Bank (“Wayne Savings”) and Main Street Financial Services Corp. (OTCPK: MSWV) (""Main Street""), the holding company of Main Street Bank Corp. (“Main Street Bank”), jointly announced today the closing of their previously announced merger.<br></p>",https://www.globenewswire.com/news-release/2024/05/31/2891734/12516/en/Wayne-Savings-Bancshares-Inc-and-Main-Street-Financial-Services-Corp-Complete-Merger.html
